titles,prices
"Apple Macbook Air 2015 A1466 13"" - 500Gb - Gris",270.0
"Apple MacBook Air 13,3” 128Go SSD, Intel I5 - 1,3 GHz, 8Go Parfait Etat Marche",345.0
Macbook Air A1466 - Pour pièces - HS - Pannes en description,89.99
MacBook Air 2020 13.3 A2179 256Go 8Go  i3 1.1 GHz Tres Bon État Bloqué iCloud,130.0
macbook air 2015,150.0
"Apple MacBook Air 13,3"" M1 8Go 256Go Gris Sidéral - Neuf",799.0
"Apple MacBook Air 13"" (512 Go SSD, M1, 8 Go)",300.0
"APPLE MACBOOK AIR 11,6 POUCES / Mi-2011 / Core i5 1,6 Ghz / 4 GB RAM / 256GB SSD",99.99
"MacBook Air 11” 2011 - 4/256 GO - Non Fonctionnel, Vendu pour Pièces - Silver",21.5
Nouvelle annonceMacBook Air 11 pouces mi 2013,235.0
Nouvelle annonceApple MacBook Air M1 2020 Gold A2337 MBA 13.3 8GB/512GB SSD TBE  BLOQUER ICLOUD,300.0
"Apple MacBook Air 13"" (256 Go SSD, M1, 8 Go) Laptop - Gris sidéral -...",500.0
"Apple MacBook Air 13"" 2020 - 256Go SSD 8Go RAM Intel Core i3",469.0
"Apple MacBook Air - 11.6"" - 1.6Ghz - 4Go - 128 Go - Comme neuf ! Nettoyé facture",149.0
"Apple MacBook Air 13"" (256 Go SSD, M1, 8 Go) Laptop - Gris sidéral",680.0
"Nouvelle annonceMacBook Air 13"" 2020 - Modèle A2179 - Core i5 1.1 GHz - SSD 256 Go - RAM 8 Go",790.0
Apple MacBook Air 15.3'' 256 Go SSD 8 Go RAM Puce M2 CPU 8 coeurs GPU 10 coeurs,900.0
"MacBook Air 11,6"" - i5 1,3Ghz 4Go RAM 256Go SSD (mi-2013) Clavier Azerty ",149.0
MacBook Air 13 pouces 4GO ram SSD 500GO,120.0
"Apple MacBook Air 13,3"" QWERTY (Intel Core i5  1,8 GHz, 128 Go. SSD ,8Go RAM)...",190.0
"Apple MacBook Air 13,3"" (Intel Core i5 5ème Génération, 1,6GHz, 128Go SSD, 4 Go)",249.99
"MacBook Air 13"" fin-2018 -A1932 Retina - i5 - 8Gb RAM - 256Gb SSD",380.0
"Apple MacBook Air 13"" (256 Go SSD, M1, 8 Go) Laptop - Or -dommage Liquide Hs",350.0
"Apple MacBook Air 13,3"" (2014) - 128Go SSD / Intel i5 / 4 Go RAM - Bon État",215.0
MacBook Air A1369,60.0
Nouvelle annonceMacBook Air 2020 - 512Go SSD - i5 4 Coeurs - 8Go RAM - Parfait État,999.0
"Apple MacBook Air 13"" (256 Go SSD, M1, 8 Go) Laptop - Gris sidéral COMME NEUF",600.0
Nouvelle annonceMacbook Air 15'' M2 2023 - PARFAIT état - Garantie 08/2025 - Noir Minuit,"[1.0, 999.0]"
MacBook Air 13 pouces 4GO ram SSD 128 GO,250.0
"MacBook Air 13"" (2017) - Core i5 1.8 GHz 128 SSD - 8 Go AZERTY - Français",465.02
macbook air A1370 hs,75.0
"MacBook Air 13"" - A1369 – Intel i5 - 1.7Ghz (2557M)",175.0
"Apple MacBook Air 11,6” (128Go SSD, Intel Core i5 5ème Génération, 1,6 GHz, 4Go)",140.0
Nouvelle annonceCarte mère M1 8Go / 256Go pour MacBook Air 13″ A2337 (2020),290.0
Macbook Air mi 2013 4Go de ram 128Go de SSD avec DEFAUT,150.0
"APPLE Macbook Air Retina 13"" + Logiciels",480.0
"Apple MacBook Air 13"" (256 Go SSD, M1, 8 Go) Gris sidéral ",660.0
"MacBook Air (2011) 11""  Intel Core i5 1.6 GHz",150.0
"Nouvelle annonceApple MacBook Air 13,3"" (Intel Core i3 10ème Génération, 1,10GHz, 256Go SSD, 8Go",200.0
"Nouvelle annonceApple MacBook Air 13,3"" (Intel Core i5 8ème Gén, 1,6 GHz, 128 Go SSD Allemand",299.0
" ÉCRAN LCD COMPLET ASSEMBLÉ POUR MACBOOK AIR 13"" A2337 DE 2020","[199.9, 299.9]"
Apple Macbook Air A1466 2013 2014 2015 2017 Trackpad Touchpad Pavé tactile,20.0
Macbook Air 2014,260.0
Écran Hs MacBook Air ,25.0
59 - MACBOOK AIR 13 POUCES BOITE VIDE,19.0
"Apple MacBook Air 13"" mi-2012, 4Go RAM, 128ssD, i5 1,8GHz",151.0
Nouvelle annonceCarte mère M1 16Go / 512Go pour MacBook Air 13″ A2337 (2020),390.0
"Apple MacBook Air 13"" (256 Go SSD, M1, 8 Go) Laptop - Argent - MGN93FN/A...",700.0
Ordinateur Apple MACBOOK AIR M2 8 256 Minuit QWERTY,900.0
MacBook Air 13 2017 Core i5 128Go SSD 8Go RAM  LOT RETOUR ASSURANCE  ECRAN CASSÉ,210.8
"MacBook Air 13"" 2015 Core i5 (I5-5250U) 1.6GHz 4Go 128Go - Azerty (FR)",219.0
"Apple Macbook Air 11,6 pouces début 2014 modèle A1465 4 Go/128 Go ",229.0
MacBook air 2014 4Go 128 Go Os Big,199.0
"Apple MacBook Air - PC Portable - 13"" - 128Go - Argenté (4ème Génération)...",265.44
Apple MacBook Air M1 A2337 Gris Sidéral,379.0
Mac Book Air 13 pouce  A1369 2011 I7 256Go 4go RAM,139.0
" ÉCRAN LCD COMPLET ASSEMBLÉ POUR MACBOOK AIR 13"" A1932 ET A2179","[229.9, 299.9]"
" BATTERIE POUR MACBOOK AIR 13"" A1369 A1466 (A1377 A1405 A1496)","[39.9, 69.9]"
"macbook air a1369 hs  13""",95.0
"MacBook Air 11"" (2014) - AZERTY Core i5 - 1.4 GHz - 128 Go SSD - RAM 4Go HS !!",70.0
MACBOOK AIR A1369 EMC2469,150.0
Macbook Air A1466 - Pour pièces - HS - Ne s'allume pas,99.99
"Apple MacBook Air 13,3” (128Go SSD, Intel Core i5 5ème Génération, 1,6 GHz, 8Go)",257.37
"Macbook Air 13"" 2010 Core 2 Duo 256Go - LOT RETOUR ASSURANCE - ECRAN CASSÉ",119.63
Intel MacBook Air 13,279.0
